Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,1500.500000,1514.199951,1494.000000,1500.449951,1500.449951,50292
2020-05-21,1501.000000,1582.000000,1501.000000,1575.000000,1575.000000,115726
2020-05-22,1571.000000,1624.750000,1556.000000,1617.849976,1617.849976,121081
2020-05-26,1625.000000,1656.000000,1621.449951,1630.500000,1630.500000,77530
2020-05-27,1628.150024,1637.550049,1596.849976,1619.750000,1619.750000,44186
2020-05-28,1621.000000,1657.000000,1616.599976,1643.750000,1643.750000,62689
2020-05-29,1643.500000,1697.949951,1634.750000,1684.400024,1684.400024,67099
2020-06-01,1693.449951,1710.000000,1682.000000,1693.500000,1693.500000,64045
2020-06-02,1693.500000,1732.349976,1681.449951,1709.849976,1709.849976,49661
2020-06-03,1723.000000,1738.099976,1705.900024,1716.300049,1716.300049,45143
2020-06-04,1727.000000,1727.000000,1626.599976,1633.000000,1633.000000,132298
2020-06-05,1654.000000,1658.800049,1621.349976,1638.400024,1638.400024,72995
2020-06-08,1654.000000,1665.750000,1629.000000,1634.449951,1634.449951,135494
2020-06-09,1653.000000,1694.300049,1638.000000,1641.550049,1641.550049,94930
2020-06-10,1642.000000,1680.800049,1628.300049,1636.199951,1636.199951,54345
2020-06-11,1636.000000,1645.250000,1606.650024,1609.550049,1609.550049,42854
2020-06-12,1586.500000,1642.599976,1575.000000,1637.949951,1637.949951,55787
2020-06-15,1635.000000,1650.699951,1602.300049,1618.050049,1618.050049,41365
2020-06-16,1640.000000,1640.000000,1608.750000,1621.050049,1621.050049,74648
2020-06-17,1619.800049,1622.550049,1591.000000,1596.099976,1596.099976,40030
2020-06-18,1601.800049,1612.000000,1588.050049,1598.900024,1598.900024,58275
2020-06-19,1595.000000,1630.000000,1592.550049,1622.250000,1622.250000,77035
2020-06-22,1632.000000,1673.000000,1624.550049,1653.449951,1653.449951,53386
2020-06-23,1655.550049,1688.000000,1641.150024,1683.650024,1683.650024,93279
2020-06-24,1689.000000,1813.099976,1686.199951,1746.400024,1746.400024,297632
2020-06-25,1730.500000,1746.300049,1683.849976,1688.849976,1688.849976,90372
